id,open,close,high,low,volume,Day,Month,Year
343,388.1,366.25,391.23,354.01,79169.56,13,09,2020
344,374.14,388.1,388.99,365.15,59788.64,12,09,2020
345,368.38,374.19,375.94,356.11,76626.8,11,09,2020
346,351.58,368.39,378.34,351.0,96986.6,10,09,2020
347,338.0,351.4,359.72,331.55,65347.45,09,09,2020
348,354.33,338.0,357.52,326.0,100290.22,08,09,2020
349,353.37,354.34,359.25,324.23,111292.82,07,09,2020
350,336.0,353.28,360.99,317.2,140598.87,06,09,2020
351,386.36,336.02,395.61,310.38,326912.25,05,09,2020
352,382.06,386.35,400.8,355.5,167876.33,04,09,2020
353,439.97,382.0,450.7,371.57,313250.89,03,09,2020
354,475.98,439.9,482.03,417.9,209139.06,02,09,2020
355,434.48,476.19,488.85,430.2,200832.16,01,09,2020
356,429.64,434.61,440.16,418.44,65735.18,31,08,2020
357,399.19,429.93,430.0,399.03,75797.67,30,08,2020
358,395.87,399.29,406.58,392.42,50935.11,29,08,2020
359,383.7,395.94,398.97,380.66,42328.61,28,08,2020
360,386.28,383.42,398.0,371.7,70561.63,27,08,2020
361,383.61,386.01,393.52,377.8,43314.97,26,08,2020
362,408.22,383.69,409.2,370.5,99124.86,25,08,2020
363,391.1,408.4,410.69,388.08,49970.3,24,08,2020
364,395.83,391.22,397.49,384.14,22386.49,23,08,2020
365,388.05,395.87,397.48,380.06,52196.05,22,08,2020
366,416.58,388.09,419.22,385.5,85785.51,21,08,2020
367,408.62,416.79,419.61,402.42,70408.1,20,08,2020
368,422.2,408.67,427.11,396.0,152525.41,19,08,2020
369,431.61,422.2,434.85,413.71,76401.8,18,08,2020
370,434.55,431.61,448.47,421.05,144814.21,17,08,2020
371,433.15,434.32,437.48,412.82,56047.4,16,08,2020
372,438.29,432.93,443.4,426.1,57669.07,15,08,2020
373,425.55,438.18,444.0,418.5,135316.08,14,08,2020
374,388.58,425.24,431.99,376.62,178795.69,13,08,2020
375,378.59,388.4,389.74,366.0,57782.2,12,08,2020
376,395.86,378.95,398.4,365.75,95794.32,11,08,2020
377,390.19,395.87,400.4,385.02,79101.58,10,08,2020
378,396.96,390.06,400.24,382.45,60886.11,09,08,2020
379,378.86,396.88,397.0,375.9,43688.28,08,08,2020
380,394.7,379.03,398.0,362.28,157995.75,07,08,2020
381,400.73,394.7,403.3,390.5,55052.34,06,08,2020
382,389.63,400.85,408.83,383.52,109152.04,05,08,2020
383,385.77,389.6,401.74,380.5,121214.14,04,08,2020
384,372.06,385.68,397.66,366.79,126895.58,03,08,2020
385,387.03,371.87,415.0,320.0,322415.94,02,08,2020
386,346.82,387.15,392.24,343.46,214176.39,01,08,2020
387,335.55,346.82,348.8,329.08,145813.03,31,07,2020
388,318.45,335.43,342.37,314.52,89569.82,30,07,2020
389,317.46,318.46,326.89,312.89,118379.73,29,07,2020
390,322.34,317.51,327.5,306.0,123435.46,28,07,2020
391,311.88,322.31,333.45,310.94,280969.82,27,07,2020
392,305.83,311.62,321.0,300.19,159414.61,26,07,2020
393,279.91,305.87,309.12,279.91,175225.9,25,07,2020
394,275.56,279.85,287.78,268.44,119429.57,24,07,2020
395,264.72,275.78,280.84,260.41,146673.91,23,07,2020
396,246.04,264.63,270.55,242.2,108885.07,22,07,2020
397,236.45,246.0,247.34,236.18,68514.67,21,07,2020
398,239.68,236.43,240.31,234.67,23613.23,20,07,2020
399,236.13,239.58,240.53,233.67,21304.89,19,07,2020
400,233.05,236.19,237.09,232.6,13382.57,18,07,2020
401,234.0,233.18,234.86,232.43,17638.85,17,07,2020
402,238.97,233.96,239.52,229.35,79257.22,16,07,2020
403,240.62,238.94,241.61,237.33,19682.48,15,07,2020
404,239.9,240.56,242.31,237.3,21865.29,14,07,2020
405,243.33,239.9,245.62,237.86,37626.85,13,07,2020
406,239.71,243.08,244.5,237.06,32454.36,12,07,2020
407,241.58,239.47,242.07,237.7,17564.74,11,07,2020
408,242.37,241.55,242.38,235.5,28116.21,10,07,2020
409,247.45,242.4,248.0,238.16,56876.21,09,07,2020
410,239.7,247.35,249.2,238.42,59683.95,08,07,2020
411,242.15,239.63,244.0,234.87,59136.13,07,07,2020
412,227.95,242.13,242.38,227.22,64868.37,06,07,2020
413,229.59,227.94,229.94,223.54,21488.44,05,07,2020
414,225.21,229.6,230.97,224.78,14909.31,04,07,2020
415,226.52,225.33,228.39,224.46,12221.42,03,07,2020
416,231.2,226.57,232.39,223.0,44643.23,02,07,2020
417,225.88,231.31,233.21,224.64,35672.82,01,07,2020
418,228.07,225.8,228.85,223.2,16393.43,30,06,2020
419,225.12,228.05,230.0,221.36,30402.24,29,06,2020
420,221.03,225.32,228.04,218.0,37466.86,28,06,2020
421,229.94,221.13,231.24,216.0,56790.21,27,06,2020
422,232.69,229.82,233.61,227.66,34464.89,26,06,2020
423,234.81,232.69,235.58,227.65,54625.05,25,06,2020
424,243.49,234.77,249.77,230.98,90945.5,24,06,2020
425,243.49,243.49,245.46,241.04,46541.66,23,06,2020
426,227.8,243.41,247.0,227.49,124084.25,22,06,2020
427,229.23,227.8,231.71,227.3,23279.83,21,06,2020
